date,name,price
6/27/2024,Sunless Skies: Sovereign Edition	,22.99
6/20/2024,Freshly Frosted	,7.99
6/14/2024,Redout 2	,19.99
6/14/2024,Dark and Darker	,59.99
5/30/2024,Chivalry 2	,35.99
5/25/2024,Echo Starter Pack	,19.99
5/23/2024,Wuthering Waves	,39.99
5/9/2024,Firestone Free Offer	,99.99
5/9/2024,Firestone Online Idle RPG	,19.99
5/2/2024,Cat Quest II	,13.49
4/25/2024,LISA: The Definitive Edition	,19.99
4/18/2024,Town of Salem 2	,12.49
4/11/2024,Dauntless	,19.99
3/28/2024,Islets	,19.50
3/25/2024,Invincible Presents: Atom Eve	,9.99
3/14/2024,The Bridge	,9.99
3/9/2024,Astro Duel 2	,17.99
3/7/2024,Honkai Impact 3rd	,11.99
2/22/2024,Super Meat Boy Forever	,15.99
2/15/2024,Dakar Desert Rally	,29.99
2/8/2024,Lost Castle	,8.99
1/26/2024,Infinifactory	,22.39
1/19/2024,LOVE	,2.69
1/12/2024,Sail Forth	,15.99
1/2/2024,20 Minutes Till Dawn	,4.49
1/1/2024,Escape Academy	,15.99
12/31/2023,Ghostrunner	,29.99
12/30/2023,Saints Row	,29.99
12/29/2023,Snakebird Complete	,13.49
12/28/2023,Cat Quest	,11.69
12/27/2023,Cursed to Golf	,19.99
12/26/2023,Human Resource Machine	,11.99
12/24/2023,Ghostwire: Tokyo	,59.99
12/22/2023,Art of Rally	,24.99
12/21/2023,Melvor Idle	,9.75
12/20/2023,DNF Duel	,49.99
12/15/2023,True Explorers Quest Pack	,59.99
12/7/2023,Predecessor	,8.09
12/7/2023,GigaBash	,23.99
11/30/2023,Mighty Fight Federation	,23.99
11/30/2023,Jitsu Squad	,19.99
11/23/2023,Deliver Us Mars	,29.99
11/16/2023,EARTHLOCK	,26.99
11/10/2023,Golden Light	,19.99
11/3/2023,Turnip Boy Commits Tax Evasion	,11.99
10/26/2023,Tandem: A Tale of Shadows	,8.99
10/26/2023,The Evil Within 2	,29.99
10/19/2023,The Evil Within	,19.99
10/19/2023,Eternal Threads	,17.99
10/12/2023,Blazing Sails	,14.79
10/6/2023,Torque Drift 2	,19.99
9/29/2023,Soulstice	,39.99
9/29/2023,Model Builder	,16.79
9/21/2023,The Forest Quartet	,8.99
9/21/2023,Out of Line	,7.19
9/7/2023,Spelldrifter	,15.99
8/27/2023,Homeworld: Deserts of Kharak	,45.99
8/23/2023,Dodo Peak	,8.99
8/23/2023,Black Book	,24.99
8/10/2023,Orwell: Keeping an Eye on You	,9.99
7/27/2023,Homeworld Remastered Collection	,31.99
7/20/2023,Murder by Numbers	,12.49
7/20/2023,The Elder Scrolls Online	,19.99
7/14/2023,Train Valley 2	,13.49
7/6/2023,GRIME	,19.99
6/29/2023,The Dungeon of Naheulbeuk	,34.99
6/8/2023,PAYDAY 2	,9.99
6/1/2023,Midnight Ghost Hunt	,19.99
5/4/2023,Kao the Kangaroo	,29.99
5/4/2023,Against All Odds	,19.99
4/27/2023,Breathedge	,24.99
4/20/2023,Beyond Blue	,15.99
4/13/2023,MORDHAU	,26.99
4/6/2023,shapez	,9.99
